tanggal,pm10,so2,co,o3,no2,max,critical,kategori
04/08/22,40,39,19,50,5,50,O3,BAIK
04/09/22,56,37,33,41,6,56,PM10,SEDANG
04/10/22,50,38,18,47,6,50,PM10,BAIK
04/11/22,52,40,16,47,5,52,PM10,SEDANG
04/12/22,82,38,31,30,6,82,PM10,SEDANG
04/13/22,44,37,18,33,6,44,PM10,BAIK
04/14/22,36,38,20,30,5,38,SO2,BAIK
04/15/22,43,38,9,43,2,43,PM10,BAIK
04/16/22,33,38,11,51,3,51,O3,SEDANG
04/17/22,32,32,11,48,6,48,O3,BAIK
04/18/22,35,29,10,52,5,52,O3,SEDANG
04/19/22,70,30,37,63,5,70,PM10,SEDANG
04/20/22,71,29,36,125,6,125,O3,TIDAK SEHAT
04/21/22,59,30,15,75,6,75,O3,SEDANG
04/22/22,76,31,71,94,5,94,O3,SEDANG
04/23/22,56,31,13,50,7,56,PM10,SEDANG
04/24/22,54,30,17,50,4,54,PM10,SEDANG
04/25/22,82,31,25,53,5,82,PM10,SEDANG
04/26/22,60,32,20,44,7,60,PM10,SEDANG
04/27/22,71,30,22,29,5,71,PM10,SEDANG
04/28/22,37,29,26,35,3,37,PM10,BAIK
04/29/22,63,30,29,71,4,71,O3,SEDANG
04/30/22,47,30,13,73,4,73,O3,SEDANG
05/01/22,63,26,107,8,107,4,CO,TIDAK SEHAT
05/02/22,63,30,27,92,5,92,O3,SEDANG
05/03/22,33,30,14,80,5,80,O3,SEDANG
05/04/22,56,30,18,37,5,56,PM10,SEDANG
05/05/22,69,23,13,113,7,113,O3,TIDAK SEHAT
05/06/22,22,15,24,102,7,102,O3,TIDAK SEHAT
05/07/22,44,17,21,63,7,63,O3,SEDANG
05/08/22,40,18,19,85,9,85,O3,SEDANG
05/09/22,37,21,18,62,5,62,O3,SEDANG
05/10/22,58,18,28,64,9,64,O3,SEDANG
05/11/22,36,18,39,66,9,66,O3,SEDANG
05/12/22,49,21,22,70,10,70,O3,SEDANG
05/13/22,60,14,41,71,11,71,O3,SEDANG
05/14/22,25,17,17,47,7,47,O3,BAIK
